,recipient,donor,coalesced_purpose_name,amount
75,India,Australia,Industrial development,24434534.0
76,India,Australia,Power generation/non-renewable sources,3917484.0
77,India,Australia,Rail transport,2671116.0
78,India,Austria,Industrial development,7202447.0
79,India,Austria,Power generation/non-renewable sources,8081078.0
80,India,Belgium,Industrial development,223779.0
81,India,Belgium,Power generation/non-renewable sources,859652.0
82,India,Canada,Air transport,14224407.0
83,India,Canada,Industrial development,54685827.0
84,India,Canada,Power generation/non-renewable sources,19357050.0
85,India,Canada,Rail transport,159410.0
86,India,Denmark,Industrial development,160372258.0
87,India,Finland,Industrial development,31746338.0
88,India,France,Air transport,93048552.0
89,India,France,Industrial development,736412685.0
90,India,France,Power generation/non-renewable sources,238543251.0
91,India,France,Rail transport,165780050.0
92,India,Germany,Industrial development,1768993054.0
93,India,Germany,Power generation/non-renewable sources,1564258419.0
94,India,Germany,Rail transport,284985226.0
95,India,Italy,Industrial development,254284699.0
96,India,Japan,Industrial development,2540561929.0
97,India,Japan,Power generation/non-renewable sources,4087006797.0
98,India,Japan,Rail transport,11519785524.0
99,India,Kuwait,Industrial development,131175647.0
100,India,Kuwait,Power generation/non-renewable sources,149282062.0
101,India,Netherlands,Air transport,704628.0
102,India,Netherlands,Industrial development,50767936.0
103,India,Netherlands,Power generation/non-renewable sources,724396.0
104,India,Netherlands,Rail transport,42065271.0
105,India,Norway,Air transport,2316419.0
106,India,Norway,Industrial development,160646315.0
107,India,Norway,Power generation/non-renewable sources,322.0
108,India,Saudi Arabia,Rail transport,79371799.0
109,India,Spain,Air transport,6797785.0
110,India,Spain,Industrial development,1386496.0
111,India,Spain,Rail transport,19497.0
112,India,Sweden,Industrial development,12572753.0
113,India,Sweden,Power generation/non-renewable sources,26060699.0
114,India,Sweden,Rail transport,4306879.0
115,India,Switzerland,Industrial development,76369785.0
116,India,United Kingdom,Air transport,226060281.0
117,India,United Kingdom,Industrial development,141881911.0
118,India,United Kingdom,Power generation/non-renewable sources,621381168.0
119,India,United Kingdom,Rail transport,214915085.0
120,India,United States,Air transport,2273859378.0
121,India,United States,Industrial development,1295117393.0
122,India,United States,Power generation/non-renewable sources,1518862446.0
123,India,United States,Rail transport,35997362.0
